Model directory: /root/../pvcvolume/idm_attacker/
INFO:__main__:Starting PPO training...
INFO:__main__:Environment: idm, Workers: 4, Total Timesteps: 1000000
INFO:__main__:Hyperparameters: gamma=0.9, lambda=0.9, clip_eps=0.2, lr=0.0003
INFO:__main__:Batch Size (Workers * Steps): 1024
INFO:__main__:Total PPO Updates: 976
INFO:__main__:Update: 39/976, Timesteps: 39936/1000000, FPS: 54, Episodes: 535, Avg Reward (Last 100): 0.26, Avg Length (Last 100): 63.05
INFO:__main__:Update: 40/976, Timesteps: 40960/1000000, FPS: 51, Episodes: 550, Avg Reward (Last 100): 0.35, Avg Length (Last 100): 61.85
INFO:__main__:Update: 41/976, Timesteps: 41984/1000000, FPS: 51, Episodes: 564, Avg Reward (Last 100): 0.41, Avg Length (Last 100): 60.47
INFO:__main__:Update: 42/976, Timesteps: 43008/1000000, FPS: 54, Episodes: 578, Avg Reward (Last 100): 0.35, Avg Length (Last 100): 60.86
INFO:__main__:Update: 43/976, Timesteps: 44032/1000000, FPS: 57, Episodes: 588, Avg Reward (Last 100): 0.41, Avg Length (Last 100): 60.38
INFO:__main__:Update: 44/976, Timesteps: 45056/1000000, FPS: 53, Episodes: 602, Avg Reward (Last 100): 0.53, Avg Length (Last 100): 58.58
INFO:__main__:Update: 45/976, Timesteps: 46080/1000000, FPS: 54, Episodes: 613, Avg Reward (Last 100): 0.44, Avg Length (Last 100): 59.84
INFO:__main__:Update: 46/976, Timesteps: 47104/1000000, FPS: 52, Episodes: 628, Avg Reward (Last 100): 0.56, Avg Length (Last 100): 58.55
INFO:__main__:Update: 47/976, Timesteps: 48128/1000000, FPS: 52, Episodes: 641, Avg Reward (Last 100): 0.62, Avg Length (Last 100): 57.77
INFO:__main__:Update: 48/976, Timesteps: 49152/1000000, FPS: 55, Episodes: 654, Avg Reward (Last 100): 0.56, Avg Length (Last 100): 58.57
INFO:__main__:Update: 49/976, Timesteps: 50176/1000000, FPS: 52, Episodes: 667, Avg Reward (Last 100): 0.59, Avg Length (Last 100): 57.70
INFO:__main__:Update: 50/976, Timesteps: 51200/1000000, FPS: 53, Episodes: 680, Avg Reward (Last 100): 0.59, Avg Length (Last 100): 57.47
INFO:__main__:Update: 51/976, Timesteps: 52224/1000000, FPS: 54, Episodes: 692, Avg Reward (Last 100): 0.50, Avg Length (Last 100): 58.28
INFO:__main__:Update: 52/976, Timesteps: 53248/1000000, FPS: 54, Episodes: 705, Avg Reward (Last 100): 0.44, Avg Length (Last 100): 58.98
INFO:__main__:Update: 53/976, Timesteps: 54272/1000000, FPS: 51, Episodes: 717, Avg Reward (Last 100): 0.50, Avg Length (Last 100): 58.33
INFO:__main__:Update: 54/976, Timesteps: 55296/1000000, FPS: 53, Episodes: 731, Avg Reward (Last 100): 0.44, Avg Length (Last 100): 59.66
INFO:__main__:Update: 55/976, Timesteps: 56320/1000000, FPS: 54, Episodes: 740, Avg Reward (Last 100): 0.35, Avg Length (Last 100): 60.65
INFO:__main__:Update: 56/976, Timesteps: 57344/1000000, FPS: 53, Episodes: 750, Avg Reward (Last 100): 0.38, Avg Length (Last 100): 60.78
INFO:__main__:Update: 57/976, Timesteps: 58368/1000000, FPS: 55, Episodes: 762, Avg Reward (Last 100): 0.35, Avg Length (Last 100): 61.81
INFO:__main__:Update: 58/976, Timesteps: 59392/1000000, FPS: 53, Episodes: 774, Avg Reward (Last 100): 0.26, Avg Length (Last 100): 63.72
INFO:__main__:Update: 59/976, Timesteps: 60416/1000000, FPS: 54, Episodes: 788, Avg Reward (Last 100): 0.29, Avg Length (Last 100): 63.55
INFO:__main__:Update: 60/976, Timesteps: 61440/1000000, FPS: 51, Episodes: 805, Avg Reward (Last 100): 0.38, Avg Length (Last 100): 62.51
INFO:__main__:Update: 61/976, Timesteps: 62464/1000000, FPS: 52, Episodes: 818, Avg Reward (Last 100): 0.32, Avg Length (Last 100): 63.61
INFO:__main__:Update: 62/976, Timesteps: 63488/1000000, FPS: 52, Episodes: 829, Avg Reward (Last 100): 0.32, Avg Length (Last 100): 62.62
INFO:__main__:Update: 63/976, Timesteps: 64512/1000000, FPS: 54, Episodes: 841, Avg Reward (Last 100): 0.35, Avg Length (Last 100): 62.16
INFO:__main__:Update: 64/976, Timesteps: 65536/1000000, FPS: 53, Episodes: 854, Avg Reward (Last 100): 0.32, Avg Length (Last 100): 61.96
INFO:__main__:Update: 65/976, Timesteps: 66560/1000000, FPS: 53, Episodes: 870, Avg Reward (Last 100): 0.38, Avg Length (Last 100): 60.17
INFO:__main__:Update: 66/976, Timesteps: 67584/1000000, FPS: 50, Episodes: 884, Avg Reward (Last 100): 0.47, Avg Length (Last 100): 58.57
INFO:__main__:Update: 67/976, Timesteps: 68608/1000000, FPS: 54, Episodes: 897, Avg Reward (Last 100): 0.44, Avg Length (Last 100): 58.37
INFO:__main__:Update: 68/976, Timesteps: 69632/1000000, FPS: 54, Episodes: 911, Avg Reward (Last 100): 0.53, Avg Length (Last 100): 57.24
INFO:__main__:Update: 69/976, Timesteps: 70656/1000000, FPS: 52, Episodes: 926, Avg Reward (Last 100): 0.53, Avg Length (Last 100): 57.32
INFO:__main__:Update: 70/976, Timesteps: 71680/1000000, FPS: 54, Episodes: 940, Avg Reward (Last 100): 0.56, Avg Length (Last 100): 57.20
INFO:__main__:Update: 71/976, Timesteps: 72704/1000000, FPS: 53, Episodes: 955, Avg Reward (Last 100): 0.50, Avg Length (Last 100): 57.53
INFO:__main__:Update: 72/976, Timesteps: 73728/1000000, FPS: 56, Episodes: 968, Avg Reward (Last 100): 0.44, Avg Length (Last 100): 59.08
INFO:__main__:Update: 73/976, Timesteps: 74752/1000000, FPS: 53, Episodes: 982, Avg Reward (Last 100): 0.23, Avg Length (Last 100): 61.51
INFO:__main__:Update: 74/976, Timesteps: 75776/1000000, FPS: 52, Episodes: 997, Avg Reward (Last 100): 0.23, Avg Length (Last 100): 61.88
INFO:__main__:Update: 75/976, Timesteps: 76800/1000000, FPS: 52, Episodes: 1008, Avg Reward (Last 100): 0.17, Avg Length (Last 100): 62.34
INFO:__main__:Update: 76/976, Timesteps: 77824/1000000, FPS: 54, Episodes: 1022, Avg Reward (Last 100): 0.14, Avg Length (Last 100): 62.60
INFO:__main__:Update: 77/976, Timesteps: 78848/1000000, FPS: 53, Episodes: 1034, Avg Reward (Last 100): 0.26, Avg Length (Last 100): 61.28
